Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
70,55104,06 pt,"R$ 59,90",null,null
70,107770,14 pt,"R$ 139,90",null,null
70,104873,10 pt,"R$ 99,90",null,null
70,108125,09 pt,"R$ 89,90",null,null
70,107771,null,null,null,null
70,104874,null,null,null,null
70,108126,null,null,null,null
70,107769,null,null,null,null
70,104872,null,null,null,null
70,108127,null,null,null,null
70,107772,null,null,null,null
70,104876,null,null,null,null
70,108128,null,null,null,null
70,107773,null,null,null,null
70,104875,null,null,null,null
70,108129,null,null,null,null
70,107776,null,null,null,null
70,104879,null,null,null,null
70,108130,null,null,null,null
70,107775,null,null,null,null
70,104878,null,null,null,null
70,108131,null,null,null,null
70,107774,null,null,null,null
70,104877,null,null,null,null
70,108132,null,null,null,null
70,107779,null,null,null,null
70,104882,null,null,null,null
70,108133,null,null,null,null
70,107778,null,null,null,null
70,104881,null,null,null,null
70,108135,null,null,null,null
70,107777,null,null,null,null
70,104880,null,null,null,null
70,108136,null,null,null,null
70,107780,null,null,null,null
70,104883,null,null,null,null
70,108138,null,null,null,null
70,107757,null,null,null,null
70,104884,null,null,null,null
70,108140,null,null,null,null
70,107758,null,null,null,null
70,104885,null,null,null,null
70,108142,null,null,null,null
70,107759,null,null,null,null
70,104886,null,null,null,null
70,108144,null,null,null,null
70,107760,null,null,null,null
70,104887,null,null,null,null
70,108146,null,null,null,null
70,107761,null,null,null,null
70,104888,null,null,null,null
70,108148,null,null,null,null
70,107762,null,null,null,null
70,104889,null,null,null,null
70,108150,null,null,null,null
70,107763,null,null,null,null
70,104890,null,null,null,null
70,108151,null,null,null,null
70,107765,null,null,null,null
70,104892,null,null,null,null
70,108153,null,null,null,null
70,107764,null,null,null,null
70,104891,null,null,null,null
70,108154,null,null,null,null
70,107766,null,null,null,null
70,104893,null,null,null,null
70,108155,null,null,null,null
70,107768,null,null,null,null
70,104895,null,null,null,null
70,108156,null,null,null,null
70,107767,null,null,null,null
70,104894,null,null,null,null
70,108157,null,null,null,null
71,127768,09 pt,R$ 97,null,null
71,127772,06 pt,"R$ 61,90",null,null
71,127766,13 pt,"R$ 129,90",null,null
71,127777,null,null,null,null
71,127760,null,null,null,null
71,127762,null,null,null,null
71,127775,null,null,null,null
71,127776,null,null,null,null
71,127761,null,null,null,null
71,127757,null,null,null,null
71,127763,null,null,null,null
71,127764,null,null,null,null
71,109002,null,null,null,null
71,107127,null,null,null,null
71,107129,null,null,null,null
71,107128,null,null,null,null
71,107130,null,null,null,null
71,107131,null,null,null,null
71,107132,null,null,null,null
71,107133,null,null,null,null
71,107134,null,null,null,null
71,107124,null,null,null,null
71,107123,null,null,null,null
71,107125,null,null,null,null
71,107126,null,null,null,null
72,24865,06 pt,"R$ 59,90",null,null
72,105713,04 pt,"R$ 45,90",null,null
72,92576,06 pt,"R$ 59,90",null,null
72,92584,06 pt,"R$ 61,90",null,null
72,72020,06 pt,"R$ 59,9012",null,null
72,92595,07 pt,"R$ 71,90",null,null
72,55100,05 pt,"R$ 49,90",null,null
72,110678,07 pt,"R$ 69,90",null,null
72,110679,08 pt,"R$ 82,90",null,null
72,110680,null,null,null,null
72,110681,null,null,null,null
72,110682,null,null,null,null
72,110683,null,null,null,null
72,110684,null,null,null,null
72,110685,null,null,null,null
72,55105,null,null,null,null
72,71663,null,null,null,null
72,153720,null,null,null,null
72,59313,null,null,null,null
73,146690,08 pt,"R$ 79,90",null,"R$ 101,90"
73,146691,04 pt,"R$ 39,90",null,"R$ 16,00"
73,137968,04 pt,"R$ 331,80",null,null
73,137967,07 pt,"R$ 101,90",null,null
73,137966,33 pt,"R$ 45,90",null,null
73,137969,null,"R$ 75,90",null,null
73,137962,null,"R$ 16,00",null,null
73,137961,null,null,null,null
73,155555,null,null,null,null
73,155556,null,null,null,null
74,105713,04 pt,"R$ 45,90",null,null
74,105716,03 pt,"R$ 30,90",null,null
74,58406,06 pt,"R$ 66,90",null,null
74,55105,07 pt,"R$ 71,90",null,null
74,105714,04 pt,"R$ 44,90",null,null
74,55104,06 pt,"R$ 59,90",null,null
74,55100,06 pt,"R$ 61,90",null,null
74,109002,06 pt,"R$ 61,9025",null,null
74,15825,03 pt,"R$ 30,90",null,null
74,15826,03 pt,"R$ 30,90",null,null
74,109481,06 pt,"R$ 59,90",null,null
75,15821,02 pt,"R$ 29,90",null,null
75,15553,null,null,null,null
75,15817,null,null,null,null
75,15823,null,null,null,null
75,15815,null,null,null,null
75,109477,null,null,null,null
75,109478,null,null,null,null
75,15820,null,null,null,null
75,15822,null,null,null,null
75,109479,null,null,null,null
75,15352,null,null,null,null
75,150174,null,null,null,null
75,150176,null,null,null,null
75,150177,null,null,null,null
75,150178,null,null,null,null
75,150179,null,null,null,null
77,151700,02 pt,"R$ 28,90",null,null
77,151702,null,null,null,null
77,151703,null,null,null,null
77,151704,null,null,null,null
77,151705,null,null,null,null
78,10161,02 pt,"R$ 29,90",null,null
78,10162,02 pt,"R$ 20,90",null,null
78,87469,04 pt,"R$ 42,90",null,null
78,77989,02 pt,"R$ 20,90",null,null
78,93024,04 pt,"R$ 43,90",null,null
78,93026,03 pt,"R$ 34,90",null,null
78,93028,null,null,null,null
78,90905,null,null,null,null
78,87468,null,null,null,null
78,77992,null,null,null,null
78,111426,null,null,null,null
78,111424,null,null,null,null
78,111425,null,null,null,null
78,111428,null,null,null,null
78,111466,null,null,null,null
78,111398,null,null,null,null
78,157257,null,null,null,null
78,93029,null,null,null,null
78,12189,null,null,null,null
78,12179,null,null,null,null
78,12180,null,null,null,null
78,109143,null,null,null,null
78,109142,null,null,null,null
78,109144,null,null,null,null
79,116190,02 pt,"R$ 20,90",null,null
